Id	Name	NameStr	Description	SpriteName	RLvl	Cost	CostType	SkillType	TargetType	DamageType	Power	Accuracy	CritChance	CritMulti	StatusType	StatusChance	StatusPower	BuffType	HitCount
0	attack	Attack			0	0	0	18	0	1	100	100	100	100	0	0	100	0	1
1	spark	Spark	Deal light Electric damage to one target\nChance of inflicting Shock	lightning_bolt_new	0	40	1	4	0	3	100	100	100	100	1	5	100	0	1
2	bolt	Bolt	Deal medium Electric damage to one target\nChance of inflicting Shock	lightning_bolt_new	10	60	1	4	0	3	200	100	100	100	1	5	100	0	1
3	lightning	Lightning	Deal heavy Electric damage to one target\nChance of inflicting Shock	lightning_bolt_new	20	80	1	4	0	3	300	100	100	100	1	5	100	0	1
4	discharge	Discharge	Deal severe Electric damage to one target\nChance of inflicting Shock	lightning_bolt_new	30	100	1	4	0	3	400	100	100	100	1	5	100	0	1
5	arc	Arc	Deal light Electric damage to all opponents\nChance of inflicting Shock	chain_lightning_new	5	100	1	4	1	3	100	100	100	100	1	5	100	0	1
6	nova	Nova	Deal medium Electric damage to all opponents\nChance of inflicting Shock	chain_lightning_new	15	150	1	4	1	3	200	100	100	100	1	5	100	0	1
7	chain_lightning	Lightning	Deal heavy Electric damage to all opponents\nChance of inflicting Shock	chain_lightning_new	25	200	1	4	1	3	300	100	100	100	1	5	100	0	1
8	tempest	Tempest	Deal severe Electric damage to all opponents\nChance of inflicting Shock	chain_lightning_new	35	250	1	4	1	3	400	100	100	100	1	5	100	0	1
9	icicle	Icicle	Deal light Cold damage to one target\nChance of inflicting Freeze	throw_icicle_new	0	40	1	5	0	4	100	100	100	100	2	5	100	0	1
10	ice_blast	Ice Blast	Deal medium Cold damage to one target\nChance of inflicting Freeze	throw_icicle_new	10	60	1	5	0	4	200	100	100	100	2	5	100	0	1
11	bonechill	Bonechill	Deal heavy Cold damage to one target\nChance of inflicting Freeze	throw_icicle_new	20	80	1	5	0	4	300	100	100	100	2	5	100	0	1
12	glacial_spike	Glacial Spike	Deal severe Cold damage to one target\nChance of inflicting Freeze	throw_icicle_new	30	100	1	5	0	4	400	100	100	100	2	5	100	0	1
13	snowstorm	Snowstorm	Deal light Cold damage to all opponents\nChance of inflicting Freeze	ice_storm_new	5	100	1	5	1	4	100	100	100	100	2	5	100	0	1
14	blizzard	Blizzard	Deal medium Cold damage to all opponents\nChance of inflicting Freeze	ice_storm_new	15	150	1	5	1	4	200	100	100	100	2	5	100	0	1
15	vortex	Vortex	Deal heavy Cold damage to all opponents\nChance of inflicting Freeze	ice_storm_new	25	200	1	5	1	4	300	100	100	100	2	5	100	0	1
16	avalanche	Avalanche	Deal severe Cold damage to all opponents\nChance of inflicting Freeze	ice_storm_new	35	250	1	5	1	4	400	100	100	100	2	5	100	0	1
17	fireball	Fireball	Deal light Fire damage to one target\nChance of inflicting Burn	fireball_new	0	40	1	6	0	5	100	100	100	100	3	10	100	0	1
18	flameblast	Flameblast	Deal medium Fire damage to one target\nChance of inflicting Burn	fireball_new	10	60	1	6	0	5	200	100	100	100	3	10	100	0	1
19	incinerate	Incinerate	Deal heavy Fire damage to one target\nChance of inflicting Burn	fireball_new	20	80	1	6	0	5	300	100	100	100	3	10	100	0	1
20	pyroclasm	Pyroclasm	Deal severe Fire damage to one target\nChance of inflicting Burn	fireball_new	30	100	1	6	0	5	400	100	100	100	3	10	100	0	1
21	firestorm	Firestorm	Deal light Fire damage to all opponents\nChance of inflicting Burn	fire_storm_new	5	100	1	6	1	5	100	100	100	100	3	10	100	0	1
22	eruption	Eruption	Deal medium Fire damage to all opponents\nChance of inflicting Burn	fire_storm_new	15	150	1	6	1	5	200	100	100	100	3	10	100	0	1
23	meteor	Meteor	Deal heavy Fire damage to all opponents\nChance of inflicting Burn	fire_storm_new	25	200	1	6	1	5	300	100	100	100	3	10	100	0	1
24	armageddon	Armageddon	Deal severe Fire damage to all opponents\nChance of inflicting Burn	fire_storm_new	35	250	1	6	1	5	400	100	100	100	3	10	100	0	1
25	gust	Gust	Deal light Wind damage to one target	airstrike_new	0	30	1	7	0	6	100	100	100	100	0	0	100	0	1
26	twister	Twister	Deal medium Wind damage to one target	airstrike_new	10	45	1	7	0	6	200	100	100	100	0	0	100	0	1
27	cyclone	Cyclone	Deal heavy Wind damage to one target	airstrike_new	20	60	1	7	0	6	300	100	100	100	0	0	100	0	1
28	tornado	Tornado	Deal severe Wind damage to one target	airstrike_new	30	75	1	7	0	6	400	100	100	100	0	0	100	0	1
29	gale	Gale	Deal light Wind damage to all opponents	tornado_new	5	75	1	7	1	6	100	100	100	100	0	0	100	0	1
30	whirlwind	Whirlwind	Deal medium Wind damage to all opponents	tornado_new	15	113	1	7	1	6	200	100	100	100	0	0	100	0	1
31	monsoon	Monsoon	Deal heavy Wind damage to all opponents	tornado_new	25	150	1	7	1	6	300	100	100	100	0	0	100	0	1
32	hurricane	Hurricane	Deal severe Wind damage to all opponents	tornado_new	35	188	1	7	1	6	400	100	100	100	0	0	100	0	1
33	arcane_bolt	Arcane Bolt	Deal light Arcane damage to one target\nIncreased damage against targets inflicted with Shock, Freeze or Burn	searing_ray	0	40	1	8	0	7	100	100	100	100	0	0	100	0	1
