Id	Name	MaxHealth	MaxMana	AttackPower	MagicPower	AttackDefense	MagicDefense	Accuracy	Evasion	CritChance	CritMulti	IncCritChance	TypeStatusChance	MentalStatusChance	StatusPower	IncTypeStatus	IncMentalStatus	ResistPhysical	ResistProjectile	ResistElectric	ResistCold	ResistFire	ResistWind	ResistArcane	ResistPsychic	ResistLight	ResistDark
0	player	1000	1000	100	100	100	100	100	100	100	150	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0
1	base	250	0	50	50	100	100	100	100	5	150	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0
2	scaling	10	0	5	5	5	5	5	5	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2	adder	80	0	120	100	100	100	100	100	50	150	100	100	100	5	100	100	0	0	0	-50	-50	50	0	0	-50	50
3	kobold	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	-50	50	0	0	0	-50	50
4	caveman	120	0	100	50	100	100	100	100	100	100	100	100	100	100	100	100	20	20	-50	0	0	0	0	-50	0	0
5	gnome	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	-50	-50	0	50	-50	0	0	0
6	goblin	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	-50	0	0	-50	0	-50	50	50
7	jelly	110	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	50	50	-50	-50	-50	0	0	50	0	0
8	giant_bat	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	-50	-50	50	50	-50	0	0	0	50
9	ice_beast	110	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	75	-50	0	0	0	0	0
10	mermaid	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	-50	50	0	25	50	-50	0	0
11	big_kobold	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	-50	50	0	0	0	-50	50
12	goblin_engi	90	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	-50	0	0	-50	0	-50	50	50
13	skeleton	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	20	20	0	50	0	-50	0	50	-50	50
14	dwarf_fighter	110	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	10	50	0	0	0	-50	-50	0	0
15	dwarf_guardian	120	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	20	20	50	0	0	0	-50	-50	0	0
16	faun	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	-50	50	50	0	0	0
17	orc_warrior	120	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	20	20	25	25	25	25	0	-50	0	0
18	orc_wizard	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	-10	-10	25	25	25	25	50	-50	0	0
19	orc_priest	90	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	-15	-15	25	25	25	25	0	-50	50	-50
20	shark	130	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	-50	50	50	50	0	0	0	0
21	giant_slime	120	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	50	50	-50	0	0	0	0	0	0	0
22	hobgoblin	120	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	-50	0	0	-50	0	-50	50	50
23	naga	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	-50	50	0	25	50	-50	0	0
24	elf_fighter	120	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	10	50	10	50	50	50	0	0	-50
25	elf_priest	90	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	-10	-10	50	10	50	50	50	0	0	-50
26	elf_sorcerer	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	-5	-5	50	10	50	50	50	0	0	-50
27	spriggan_defender	130	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	50	50	50	0	-50	50	0	0	0	0
28	spriggan_berserker	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	-10	-10	50	0	-50	50	0	0	0	0
29	spriggan_druid	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	50	50	-50	50	0	0	0	0
30	obelisk	130	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	50	50	0	50	50	50	50	50	0	0
31	deep_troll_berserker	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	-10	-10	0	50	0	50	-50	0	-50	0
32	deep_troll_shaman	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	50	50	0	50	-50	0	-50	0
33	ooze	110	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	50	50	0	0	0	0	0	0	-50	50
34	salamander_knight	120	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	20	20	0	-50	75	0	0	0	0	0
35	salamander_firebrand	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	-50	75	0	0	0	0	0
36	giant_brain	120	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	50	50	50	50	50	90	0	0
37	centaur_fighter	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	-50	50	50	0	0	0
38	centaur_archer	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	-50	50	50	0	0	0
39	skeletal_fish	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	20	20	0	50	0	-50	0	50	-50	50
40	skeletal_snake	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	20	20	0	50	0	-50	0	50	-50	50
41	drowned	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	80	80	0	80	0	0	-50	0	-50	50
42	giant	180	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	10	0	0	0	0	0	-10	0	0
43	sarcophagus	150	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	10	0	0	0	0	0	50	-50	50
